id,name,user_id,screen_name,follow_count,follower_count,profile_image_url,follow_flg,follower_flg,url,college,description
,"まゆぽん",4901531713,mk0423jw,213,237,,1,0,,"大妻","大妻女子大学コミ文2B／Eternal J ジャニスト会幹事、コピダン3期生、しげファンになって7年目／／嵐FC会員(櫻井翔)、ジャニストFC会員(重岡大毅)、セクゾンFC会員(中島健人・松島聡)、乃木坂(西野)Perfume(あーちゃん)ジャニーズファンは必ずフォロバします‼"
,"岩井有咲",1494571082,i_am__asr,683,773,,1,0,https://t.co/29cXG3kNVl,"大妻","習志野 チア▷大妻 被服(絵)"
,"まお",2983325774,__m_a_o__,222,280,,1,0,https://t.co/HC96BS2MKq,"大妻","owu 情デ1A クリープハイプ 星野源 Suchmos お笑い"
,"ｋｕｒｕｍｉ",1333344338,kuuchan_0526,399,471,,1,0,,"大妻","owu 家政専攻"
,"あかり",813953261904359424,akari__1221,145,222,,1,0,https://t.co/GtBvwlKins,"家政","￤大学垢(絵)￤無言フォロー失礼します(絵)￤
Like▶YouTuber￤SNOOPY￤邦楽ロック￤

(next▶)OWU家政学部児童学科児教専"
,"ニシオユカ",4892158045,yuka__1028,105,271,,1,0,https://t.co/BMbcQXh49o,"実践","大学垢 淑巣 実践女子 人間社会"
,"えりか",1673846886,erikat0316,142,199,,1,0,https://t.co/Ur9MnlvN7U,"実践","inage1G/2D/3A»実践女子 人間社会"
,kaho,2552471672,kaho_00006,427,711,,1,0,https://t.co/H4XARxoaaI,"大妻","owu❤︎社環A"
,"まえかわ",712877634389151744,mknh725,632,631,,1,0,,"フェリス","都立→フェリス国際英語インテンG 阪神 なんでこんなにこの学校はクソなんじゃい 相互のみ。"
,"ゆみこ",829858746473910272,___mi__ko__,72,166,,1,0,,"実践","大学垢(絵)next 実践女子 現代生活 ｜ 気軽にフォローしてください(絵) ｜ 本垢@__mi_ko"
,"きょうか",752150450376282112,7_ier,419,403,,1,0,,"大妻","｜学生団体OASIS ｜(絵)女子ペディア【@jyoshipedia】｜大妻女子大｜都内でスナップ撮影をしています。ご興味ある方は気軽にDMかリプしてください♪｜ #スナップモデル募集中 #スナップ撮影 #ポートレート #モデル募集 本垢(絵)@Kyon_azusa"
,"ゆか",701600946711695360,pooh_san_hunny,47,108,,1,0,,"清泉","春から清泉女子日文・気軽にフォローしてください・プーさん＊Perfume＊aiko＊ラブライブ＊白猫＊黒猫＊箱根駅伝＊昼寝＊はくまい＊ラーメン"
,"りかこ",705418890356985856,hrikako13,199,262,,1,0,,"実践","実践女子大学/人間社会学部/Dクラス"
,yuna,702842470162239488,08yuna09,243,348,,1,0,https://t.co/7OAgMVSF1t,"実践","大学専用アカウント#春から実践女子大学#生活科学部#現代生活#Aクラス#トプ画真ん中#元水泳部#disney 本垢もフォローお願いします☞@yuna1997swim"
,"もえ",1331984521,moe6904,422,661,,1,0,https://t.co/1yei9EYJ16,"実践","jwu 生活心理 please follow me"
,"はらだ かほ",810311626482061313,5tCJq9D5H8ntgmw,161,287,,1,0,,"大妻","春から大妻女子 人間関係学部 ( @hrdaaa_ ) . . . . . . .本垢でもフォローさせて貰います(絵)"
,"s ä e",2965014672,Remedy_sae7426,122,240,,1,0,https://t.co/z0DM65O6vA,"大妻","《大学垢》千葉県 / 大妻 短食栄1A / トプ画（右） / NEWS / cerezo大阪 / 増田貴久と佐々木希が好き。/ 基本いつもうるさいです。/ よければぜひ本垢も(絵)@sae926news8ky"
,"小澤愛美",4629577874,aiai___o,263,570,,1,0,,"大妻","ヴァンフォーレクイーン11,12期生⚽️【@vfk_official】 / Lou Lou【@iscre1】 / 大妻短家"
,"みーく",3081377941,osd39,36,104,,1,0,,"相模","JJ(IS)/相模国/感傷ベクトル/就活とは"
,"h a r u ♡",4909375639,s3lO4__oO,33,88,,1,0,,"清泉","大学垢。清泉女子大の日文。"
,"あさい みさ",817246559926554629,mi3sa3_0619,104,204,,1,0,,"大妻","☞大妻女子 短ビジ1A☜ / 本垢 @0619_mi3sa3 / 161.9cm / 面接の「最近気になってるニュースは？」みたいな質問に対して、ピコ太郎の話をしたら、面接官さん達に笑われた人です(絵)(絵)(絵)"
,"りん【大学用】",813702958575562752,Rin47403081,84,118,,1,0,,"大妻","大妻 人関 人福１Ｂ"
,"chae♡",2855270570,LMA7_K,84,98,,1,0,,"大妻","owuライフデザイン１Ａ⠒̫⃝♡*"
,yuu,4592890032,yuu_2032,16,83,,1,0,,"清泉","春から清泉日文
暇さえあれば歌ってます(o・ω・o)"
,"はるか",820957451566493696,tkhrk_10,78,69,,1,0,,"大妻","（大学垢）next owu 短ビジ1A(絵) LDH(絵)️‍(絵) 155cmのチビ顔まる子です。"
,"菅原 みう",804316234728648704,naphat31,364,322,,1,0,https://t.co/KXurFyCcmR,"大妻","owu 比文A"
,"ゆうな",838391723688505344,1210yuna7383,225,305,,1,0,https://t.co/CcOtoJYrGw,"大妻","春から大妻ライフデザインB(絵)大学垢"
,"mari.♡",822284553020551168,m_ari_5,441,514,,1,0,,"大妻","大妻 家政専攻 1A 仏語"
,"あ や の",2250444984,______ayamero,546,753,,1,0,https://t.co/5z0r2GrzDr,"大妻","浅間中 → 佼成女子 → 大妻短英 / CHUTAR14th"
,...Shizuku...,818739155836383232,__sxyxkx,64,130,,1,0,,"大妻","大妻 l 情報デザ l 1A l 会計委員 l ソシャゲ l 漫画 l アニメ"
,"つくし@大学垢",703585595818246144,4m_gg,64,181,,1,0,,"大妻","春から大妻✧人間関係✧多摩キャン"
,"まや",817754872887902208,_xxR_O96,62,175,,1,0,,"大妻","owu/社臨 B"
,"あやみ",811871672793870337,next__owu,161,315,,1,0,,"大妻","春から･･大妻女子大学 家政学部 食物学科 食物学専攻(絵)(絵)(絵) 本垢➝@ayamiPeeeya 大学垢です。よかったら本垢followしてください(絵)"
,"ゆうか《大学垢》",820184709200130049,owu_yuka,86,205,,1,0,,"大妻","大学垢/next→大妻女子/人福B/eighter/紫耀/前髪ないです(絵)(絵)無言フォロー失礼します(絵)(絵)"
,"みく",2787762386,nico02_macaron,394,509,,1,0,https://t.co/x8fP7cPokM,"大妻","owu 食専1Ａ(絵)*。"
,"やまぐち ほのか",834034226882179072,niconico_hnk,106,205,,1,0,,"大妻","春からowu 無言フォローごめんなさい(絵)▷右#春からowu#食物 本垢▷@niconico_hy"
,"みなみ",3019303148,mnmsg1009,53,75,,1,0,,"聖心","Fukushima→JJ食食                                                   @mnms_09"
,Chika,844814823854551040,chika19981026,540,506,,1,0,,"大妻","大学アカ(絵) #春から大妻(絵)家政(絵)前のアカ⇨ @chika55172882乗っ取られたのでこっちフォローお願いします(絵)"
,"とくながめたぼ",1227679987,maaa_l_2727,482,559,,1,0,,"実践","実践女子/心理専攻/AAA"
,"まなえ@春から昭和女子",845463522377052160,C2Ziob5,139,170,,1,0,,"昭和女","春から昭和女子大グローバルビジネス学部ビジネスデザイン学科1-Dです(絵) 人見知りなので、よろしくお願いします(絵) ピアノは生きがい(絵) 基本何でも好きです❗️笑"
,"かとう のどか",1006033142,ndk_0226,254,277,,1,0,https://t.co/2yGWeWfwHZ,"実践","大幡 → 本一 → 実践女子 生活心理"
,"おおもり さき¨̮",715731545735045120,jjspttluv1017,8,98,,1,0,,"実践","春から実践女子大♡*⇝英文✩大学アカ✩トプ左☜"
,SAE,702782439345692672,s_110a22u,204,271,,1,0,,"実践","鶴嶺/実践 管A  JAC4期 　WINS　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　へたっぴだけどお歌が大スキ(絵)"
,"あかうぃん",703140442762715136,act_0611,138,207,,1,0,,"実践","fzk→水戸3→実践女子国文学部aクラス004/アニメとか漫画/wj系血界熱め/小野友樹/TRPG特にクトゥルフ/さんほら/おえかき"
,"k a r i n",821907557094596608,15_kmym,120,250,,1,0,https://t.co/ykS67tuADs,"実践","春から実践女子大学(絵)生活科学部 食生活学科 健康栄養専攻 トプ画右です(絵): 大学垢"
,"さいとうともみ",820513756736200704,tapiokamilk0501,33,69,,1,0,,"大妻","大学垢です！
春から☞大妻女子大学文学部英文学科
同じ大学・学部・学科の人フォローしてください！"
,"ひぐち",750928881574617088,12_C3m02,167,154,,1,0,,"大妻","佐倉東*調理科*↪︎春から大妻(絵)＊.食物栄養専攻(絵).＊ うちの犬は可愛い。可愛いぞ。ポメラニアンだぞ。太ってるんだぞ。"
,"み。",792750273999478785,__hii77,119,205,,1,0,,"フェリス","都内女子校⇨Ferris 文コミュ(絵)(絵) #春からフェリス 気軽にフォローお願いします♡"
,"たきかわちひろ✌︎(絵)(絵)",811381009300135937,owuchihiro,116,198,,1,0,,"大妻","春から大妻 文学部日本文学科 日文A 無言フォローごめんなさい(絵) @chihiro6629 ☺︎左☺︎ baseball⚾︎fighters"
,saki,815235099742511105,mtsk__1126,385,414,,1,0,,"大妻","(18) | (絵)(絵) | 大妻▷食専1A(絵)(絵)"
,"奈緒美",248000775,na_honey0511,323,487,,1,0,,"大妻","欅坂46✩本高✩ ☺︎ (絵)owu短食栄"
,"おだ まゆか",840433038383230977,myc_jj,103,218,,1,0,,"実践","春から実践女子大学☁️(絵) / 心理 /"
,"小林世佳",4451678474,seika_pearl024,8,66,,1,0,,"大妻","大学垢//春から大妻女子大学生 ▷▷人間関係学部/社会・臨床心理学科(多摩キャンパス)あまり使いません☺︎"
,"kotono❤︎",845150981906083841,hrom0615,119,172,,1,0,,"跡見","atmマネマネ(絵)(絵) とぷ左☜ 【大学垢】無言フォロー失礼します(絵)(絵)"
,"みゆ",4485067039,pyonO2913,44,152,,1,0,,"大妻","春から大妻女子大学 多摩キャンパス EG こまつ７"
,"ひ ろ か",841940345587937280,daisyiii_0109,193,261,,1,0,https://t.co/elo5Djwdba,"大妻","延高▷(絵)大妻 被服(絵)(絵) #春からOWU /fashion/disney/dance/さば(絵)twins"
,"大黒 由貴",371267909,shirubakuransu,608,682,,1,0,https://t.co/iAZ5mrUEET,"清泉","Anecan専属読者モデルAneLADY100 4期生メンバー/ミス清泉コンテスト2012 準グランプリ/ミスユニバース神奈川大会2014ファイナリスト"
,Emiko,967899464,hdm0726,136,129,,1,0,,"大妻","青翠☞大妻・被服(4)❇fashion ❇TGC❇"
,"茉衣",3016014157,mai42246815,208,322,,1,0,,"大妻","春から大妻(絵)(絵) 人間関係 大学垢 大学、学科同じの人フォローしてください〜！！(絵)(絵)‍♀️❤️"
,"ちゃんゆう",824532812187332608,y_____xxxo0,66,193,,1,0,,"大妻","next▶大妻短家専1B。【トプ←】"
,"KAZUE（兼  都）",3503716699,applelove14761,260,219,,1,0,https://t.co/ecAbVYX95s,"実践","春から実践女子英(。・ｘ・)ゞ♪

bloveで都として小説「ここにいるよ。」「ロング  ウェイ  ラブ」を書いています。

無言フォロー失礼します❕
お別れはブロックで。


おそ松さんにはまり中ー

WILLすきー♪(///∇///)

別垢つくりました。
※たぶん腐のことばっか書く可能性大"
,"真純",4808698213,Masu_minmi_s7,148,140,,1,0,,"実践","＊Next→実践女子大 大学垢つくりました(*´ω｀*) 同じ大学、学部の人フォローお願いします♪ 無言フォローすみません(つω-｀)"
,"かしむら",4388723053,pinokio_42,41,106,,1,0,,"実践","春から実践女子大 人社     
                                                                 よかったらこっちにフォローしてください→@pinokio_2"
,"Nao✩",829981322999271424,kn16_or,55,155,,1,0,,"大妻","☆大学垢☆
春からowu(多摩キャンパス)
社会学専攻Aクラスです(絵)
同じ学部学科の人、気軽にフォローしてください
よろしくお願いします(´˘`＊)"
,"さほすけ",705297352832069632,saho_rou,98,110,,1,0,,"跡見","跡見/観光デザイン学科/千葉/吹部/バスクラ/長女/ハリー・ポッター/明光義塾生/無言フォロー失礼しますm(__)m/大学垢/よろしくお願いします！/フォロー喜びます"
,demi,825557222709014528,hdm1307,83,159,,1,0,,"大妻","...next＞＞owu...家政学部ライフデザイン(絵)️‍(絵)"
,"りさ",705629107111866368,leolbbmg5,27,66,,1,0,,"実践","実践女子大/食管B　曲を聴くこと/猫/夜空を見ることが好き　礼法研究部/常盤祭実行委員"
,"りつ",714307745738928128,ritsu_88,20,66,,1,0,https://t.co/rJ2sRZuZ9s,"実践","実践女子食食/♡L'Arc-en-Ciel、TETSUYA、VAMPS、BULL ZEICHEN88、T.M.Revolution、SIAM SHADE、IKUO、その他アニメや劇団四季など"
,"ゆりな",748895951062904832,plVV2XBVWxZRqbJ,83,98,,1,0,,"実践","秋田出身　実践女子大学１年
モデルやりたい。/ CAFE / SPORT
色んなパーティ開いてる
アパレル店員"
,"加那",833983864083132418,Kanaaaaa_0607,68,115,,1,0,,"実践","春から➟JJ(実践女子)文学部国文学科 なんかD組らしい。花の(笑)女子大生なります！ アニメとか声優さんとかボカロとかいろいろ好きです！ 無言フォローごめんなさい(絵)おんなじキャンパスの人仲良くしてください(絵)(絵)"
,"あやの",830048452394364930,owu_Ayano0208,73,141,,1,0,,"大妻","《大学垢》春からowu短大 食物栄養学科1B   大学、学部問わずフォローお願いします！"
,"ひかり(Sluiceway)",762224243086012417,asaharahikari,304,285,,1,0,,"フェリス","フェリス 春から三年生(絵)
sluiceway(横国×フェリス)副会長  @sluiceway_32"
,"かなえ",830969150042288130,__white_yu,79,108,,1,0,,"大妻","春からowu社臨1A/しらいゆうすけ/アイドル/お笑い/ポムポムプリン"
,"未来◡̈♥︎",2496670100,yuzuneko1017,103,112,,1,0,,"実践","実践女子。食健。猫。ゆづ。こなん。ゆの。"
,"ななか☺︎",2937973140,naanaakaa1164,534,667,,1,0,https://t.co/BjuU24KDoF,"大妻","大妻_比文1D_韓国好きだけど英語できんからドイツ語なんです(絵)"
,"よしえ",834324424136404996,mskyooo,60,147,,1,0,https://t.co/MwvyDhhRia,"大妻","大学垢｜#春から大妻｜#春からOWU｜人間関係/人間福祉｜本垢フォローお願いします→@yoooxoxo_"
,"初音",707112890575114240,hatsune_mg4,47,92,,1,0,,"実践","大学垢です。実践女子大学/人間社会学部！Rejet/MARGINAL#4/帝國スタア/ニル・アドミラリの天秤/ディアヴォーカリストなどなど"
,ayaka.k,3064852891,AyRedgl,6,57,,1,0,,"実践","春から→実践女子大学 人間社会学部 ♡→映画 ゲーム 読書 料理 洋楽大好きです( *｀ω´) フォロー気軽にお願いします！大学生用アカウントです！"
,Reina,816262652892565504,disney_ars07,101,236,,1,0,,"家政","家政学部 | 児童学科 | 児専"
,n,806803845896491008,nonchii27,137,279,,1,0,,"大妻","春から大妻 社環 / ㊨"
,"あんどう れいな",2304946609,r___petit,379,486,,1,0,https://t.co/RWuumnhHfJ,"大妻","大妻短国1A 手越祐也とピンクとジブリがすきです"
,"丸山 菜子",2864132532,pooh0513xoxo1,270,284,,1,0,,"実践","4月から実践女子大学"
,"ゆうな",813923230142504960,yuna11_14,214,280,,1,0,,"跡見","kawaguchi ｜next⇒atm臨床心理 大学垢｜"
,"rino yamamoto",2988483006,TayLike_,118,195,,1,0,https://t.co/mHJhbHKbMl,"大妻","大学アカウント 大妻女子 比較文化B 中国☞洋楽 スポーツやる方好きです あとアボカド(絵)"
,"ささぱんだ",2378006977,hqft_storm,209,148,,1,0,,"実践","ぶんじKCC46th→実践女子食管/ 嵐 /アニメ、ゲームも好む。"
,shoko,2429045209,apple_irh,25,63,,1,0,,"清泉","今春から清泉地民　今更ながら大学用のｱｶ作ってみた！無言フォロー常習犯ですごめんなさい　くらげ/東京事変/椎名林檎/料理/甘いもの/マンガ"
,ayane,846616974142558208,_fairytink_,196,297,,1,0,https://t.co/HgX9jsBmDN,"フェリス","フェリス 日文(絵)大学垢から本垢に移行します〜"
,"りさ",3843477979,zuccalisa317,34,58,,1,0,,"大妻","沖縄→東京(絵)(絵)(絵) 春からowu(人間関係/人間福祉) 無言フォロー(絵)"
,"さとうゆうか",839713431854862336,yukkat_tun,58,65,,1,0,,"実践","福島東35期／実践女子大 英文／hyphen"
,"おおはし　かほ",4604791279,ka_ho36,24,99,,1,0,,"実践","春から大学1年*✩ 実践人社◡̈♥︎ 仲良くしてください◡̈⃝⋆*"
,"吉村凪沙",3480127992,noeru_quinn,286,383,,1,0,https://t.co/gRtttjPCwF,"フェリス","18years(絵)(絵)(絵)(絵)(絵)(絵) つくば ⇢フェリス EXfamily(絵)REO"
,"佐藤 里咲",2892853752,1d2418,368,386,,1,0,https://t.co/bp82El2N3u,"共立","常総学院 31 Baseball MG→共立女子.文芸.FLAVA/(絵)(絵)(絵)(絵)(絵)(絵)__________YG ☞【@risa_iKON10_22 】___________________BTS☞【@bts_0612_97line】"
,"コイケ屋",3043254780,clock486,229,283,,1,0,,"清泉","昭和小→目白研心中高→清泉女子大学/日文/放送研究会/合宿/SBS41期  知り合いの人はフォローよろしくお願いします(*'▽'*)"
,"くるみ",822994931698405376,kurukina1216,105,230,,1,0,,"大妻","春から大妻/^^\社会情報学部 社会生活専攻 A  *^Chiba * *^ジャニーズ *(絵)無言フォロー失礼します(絵)‍♀️"
,"すーちゃん",819790975400689664,conaaayukiiinee,121,38,,1,0,,"大妻","♡２０歳
♡大妻女子大学　ＯＷＵ
♡心理学専攻
♡ゆるふわ系目指してます
♡ペットはピンポンパール
♡レミオロメン大好き
♡土屋太鳳似？
♡初心者
超・お友達募集中です！(絵)"
,"さいたあやの*Ü*",818748493493780480,saya12_a,35,107,,1,0,,"大妻","春から大妻女子大学(絵)右です(絵)(絵)Bクラスです☺️☺️"
,"さとうあすか",822110505317777408,asuka__1023,742,490,,1,0,,"フェリス","Ferris univ  |  国際交流  |  大学用アカ  |  西野カナ♡ | #春からフェリス"
,"megu☆",822259464040431616,feris_megu,42,106,,1,0,,"フェリス","next→フェリス女学院/大学垢"
,"あかこむ",823508635867168769,akadcco,68,104,,1,0,,"大妻","4月から大妻女子大生になります(^^)専用垢です 家政学部ライフデザイン学科です#春から大妻#OWU"
,"か な",817251194150076417,tiiink106,127,231,,1,0,https://t.co/1ImCc1e8Ec,"実践","大学垢❥❥春から実践女子 幼保 ⍤⃝♡"
,"はな",813635583117443072,btsnene_v,99,166,,1,0,,"大妻","大妻(絵)"
,"えりか",812938456154324993,4_stndrd,135,240,,1,0,,"大妻","大妻 英文1A スペ語 / 邦・洋ロック / 大学用(絵)"
,"彩松",801696638695718913,25aya50,156,203,,1,0,https://t.co/zQwXyryuCy,"聖徳","'98(18)◇取手聖徳◇OWU日文B◇"
,"きょーか",2978226696,itiyu_rm,63,131,,1,0,,"実践","❀実践女子国文2-Ｅ❀ かるた✿裕太くん✿羅夢ちゃん♡ LL♡刀ミュ♡テニプリ♡あんまりTwitter開かないから何かあったらDMくださいっ"
,"かほ",712116913246052352,jesse_babutan,82,152,,1,0,,"実践","実践女子

音楽と映画"
,"実践女子大学 渋谷キャンパス常磐祭",4897679892,shibuya_tokiwa,145,324,,1,0,,"実践","実践女子大学渋谷キャンパス常磐祭実行委員会のアカウントです☺️❤️ 10月14日(土)/ 10月15日(日)「Clover〜""しあわせ""を見つけに」"
,"なかみ",2304817686,r_m_n7030,453,588,,1,0,https://t.co/9zPCguJU5f,"実践","jwu  東大歌劇団/早稲田クラ弦  Vn"
,"杉山 佳子",2744375862,yocchon_91011,494,495,,1,0,https://t.co/FWnKGRSpeT,"実践","市立沼津/実践女子
(絵)(絵)(絵)(絵)(絵)"
,"ほそや れいな",4853559863,_Rin0813,427,524,,1,0,https://t.co/QXAmG6uvPE,"大妻","shohei ▷owu 比文 1B"
,"大原子ども会",541276741,oharakodomokai,549,407,,1,0,,"大妻","首都大学東京と大妻女子大学が一緒に活動しているインカレサークルです。小学生と毎週土曜日に南大沢にある公園で遊んでいます！1年を通してたくさんのイベントを行っています。※子供の写真はSNSにのせれません"
,"たるこ",1592971855,taaaaaruko,605,655,,1,0,,"大妻","二松 / 大妻 児専 ❤︎ 市原隼人 ❤︎ Aqua Timez ❤︎ Block B (絵)"
,"ともよ",3109751376,___arsca2,53,140,,1,0,,"実践","JG / 実践女子 人間社会 I組"
,"えり大学垢",700944996531249152,4Wh4wjJ7loB8pkP,85,211,,1,0,https://t.co/Nk1UB0gK3r,"大妻","春から大妻女子大学人間関係学部行きます\( ¨̮ )/ 本垢移動←"
,nao,816880314366631936,tksk_owu,193,327,,1,0,,"大妻","owu短家1a/☜/ Likes:makingsweets、Badminton、kj∞、etc ((本垢→@tsno4173))⚠️鍵垢＆無言フォローごめんなさい(絵)"
,"まりか",786483234360074240,84mapika,788,896,,1,0,,"大妻","https://t.co/mjypJFkkTl 大妻ライフデザインA(絵)(絵)"
,"はる",810507460184186880,ha__0002,85,223,,1,0,,"大妻","【大学垢】 (絵)春からowu 家政専攻(絵) 同じ大学、学部の人フォローお願いします！！！ 無言フォロー失礼します(絵)(絵)(絵)【本垢】@ican_bt トプ画左。人見知り。"
,ayane,820861420875096064,ayaaa_11moco5,93,219,,1,0,,"大妻","next→owu(絵)/ 埼玉 / AAA / basketball / 本垢→@moco__ayn77"
,"なのか",4362363493,1123_nano,124,310,,1,0,,"大妻","owu情デ2B/アニメ・ニコ動/リコシャ/人見知りだけど仲良くしてください!!"
,aika,1860612710,_aaican,658,864,,1,0,https://t.co/Ex9BoGjeZk,"大妻","y / owu"
,"しもだ ちかこ",2949509742,chi_ko0507,516,724,,1,0,https://t.co/VcIAWRZCfh,"大妻","✩ISB 3B✩ ▷ ▷ next owu コミュ文"
,"からあげウーマンパイセン",2401301119,tomoka__1125,328,373,,1,0,https://t.co/QIaHr0Zm7O,"実践","実践女子大学/WEO perc/ひとは見た目より中身だよ！！！！"
,"かおりん",797336117724860416,ksr356sg170,114,112,,1,0,https://t.co/dloStXKE5A,"大妻","春からowu/社情/情デ1B 女子校6年目( →_→) 背と声が小さいマン"
,"美 希",830628647312642048,86__miki,75,114,,1,0,,"大妻","右✌︎ 大妻女子大 / 家政 ライフ B / LDH( 3JB GENE ) / cas ☺︎︎ フォロー気軽にどうぞ( ¨̮ )"
,"かんだあゆか",836117899613917184,can_ay278,89,90,,1,0,,"大妻","新潟中央ダンス→owu英文1B"
,"りお。",833311331335884800,riii____12,152,265,,1,0,,"フェリス","(絵)フェリス女学院 (絵)国際交流 (絵)#春からフェリス →→無言フォロー失礼します(._.)♡ ⚠︎トプ左です"
,chihiro,703562308920823808,yc__98,225,282,,1,0,https://t.co/l5wQGoeGUv,"大妻","kawataka ⇨ owu 短ビジ"
,"うわいりさ",777834218042773505,ripiripi13,262,321,,1,0,https://t.co/NRJGPiybFm,"大妻","常総卒業(絵)走ってました(絵)(絵)‍♀️大妻*食物B(絵)"
,YUKI,845444591583055873,yuki073014,259,370,,1,0,https://t.co/P5Jhub73ug,"フェリス","大学垢(絵)フェリス英文1年 学部問わずフォローしていただけると嬉しいです♡"
,"レオナルド２世",701687499014295552,q6zaZEiNE1wmHHQ,101,137,,1,0,,"実践","実践女子　＊柏葉会66th-sop　　　　　　　　　　　　　　　　　　　　　　　　　　Undertaleいいよね"
,"ミナポチこ(絵)",722808153897717762,po_chi_co_,328,617,,1,0,https://t.co/VBrwn5U6Iz,"フェリス","フェリス女学院の演奏学科♩ポチ子って呼んでねふふふ"
,"*＊yuka＊*",704654617880055809,yuka_311018,1,41,,1,0,,"実践","春から実践女子/食管/《大学垢》"
,hina,1290896016,__pipipi_30,461,685,,1,0,https://t.co/9njHqVooBd,"大妻",owu
,Wakana,832213511010865154,wakaana423,189,206,,1,0,,"昭和女","春からswu環デ/デザインプロデュース希望    無言フォロー失礼します(絵)  (絵)→嵐 ジャニーズ 田中圭 窪田正孝"
,"のぞみ",2550184604,food090705,316,280,,1,0,,"大妻","owu 社臨A) ジャニーズ好きです 最近はダッフィー E-girlsにはまってます！ 主にこのアカウントに出没します。"
